この際 委員の異動について御報告 いたします , おはようございます
 これだけ 日本 から 大 勢 海外 へ 出て いらっしゃる 方が おります し また 海外 から 日本に 相当 な 数 の方が 来て いらっしゃる ことを 考えれば この 社 保 協定 あるいは 租税 協定 こうした 協定 は 交渉 を 加速 化 してまいりたいと考えております , それは もう 外務省 の皆さん も含めて の 御努力 をお願いしたいと思います
お答えいたします , 中国 からの 技能実習生 そのもの の数 も 相 対 的に 多い ですから 当然 技能実習生 の 失 踪 者 も 善 し あ し は 別に 余り いい こと ではない んですが これは 受入れ 企業 側 の問題 もある し 恐らく 失 踪 者 側 の問題 もある というふうに理解をしております が 相 対 的に 中国 からの 技能実習生 の 失 踪 者は 多い と 言わ ざるを得ません が そういった 評価 で 政務官 よろしい ですね
 数 としては 減少 傾向 に はある んですけど それは そもそも 入国 者数 が 減っている という点 もある ので 議員の 御指摘 は 多い か 少ない かというのは なかなか 定 量的 に 言える ものではない んですけど 一 定数 かなり の 数が いる という認識 では よろしい と思います , そのうち どのぐらい が確保され て 入国 警備 官 の 聴取 を受けた 数は 分かります か
 失 踪 者 に限定 した 統計 というのは 取って おりませんので お答え することは 非常に 困難な んですが 平成二十五年 から 二十九年度 までの間 に 不法 残 留 や 資格 外 活動 などの いわゆる 入 管 法 違反 容 疑 で 退 去 強制 手続 を受けた 者 のうち 直近 の 在留資格 が 技能実習 であった 中国 国籍 の 者は 平成二十五年 が 七 百二十 六 人 平成二十六年 が 千二百 七十 五 人 二十七年 が 二千 二十 四 人 二十 八年 が 二千 百三十 五 人 二十九年度 が 千七百 四十 六 人 でございます , 私 今 ちょっと 聞き 漏 ら した ので もう一度
そうですね 入 管 法 違反 となる と もう そもそも 旅 券 を持た ない で 入国 した という 人 とか あるいは 失 踪 は していない けど 一定の 刑 罰 に 捕 ま え られた 者 も 入って しまっている という そういう 趣旨 です , 例えば でいい です
 平成二十九年度 に 失 踪 した 技能実習生 が 七 千 八 十九 人 でありまして そのうち 既に 出 国 した 者 とか 退 去 強制 手続 中の 者 など 当局 が 所在 を 把握している 者 を 除 いた いわゆる 所在 不明 者 というのは 約二 千五百 人 おりまして 全体の 三 五 % ということになっております , つまり 七 千 八 十九 人 失 踪 者が いて 二 千五百 人 分からない ということは 二 千五百 人は 少なくとも 失 踪 し 続けて いる ということですよね 認識 としては
済みません さっき の答弁 ちょっと 不 正確 で 度 じゃなくて 二十 九年 ということで そこを ちょっと 訂正 させていただきます , だから 七 千 八 十九 人 のうち 二 千五百 人 はまだ 失 踪 した まま ということです
繰り返し になって 申し訳ない んですけど 技能実習生 に対する この 聴取 票 というのは 失 踪 した 技能実習生 から 任意 に 聴取 した 情報 があり のまま に 記載 されている ものでありまして その 当該 技能実習生 は 入 管 法 という 法律に 違反 し 資格 外 活動 を行った ものであって 当該 聴取 票 は まさに 刑事 訴 追 を受ける おそれがある 者 からの 聴取 結果 その ものでございます , 全く 御理解 できません
失礼いたしました , 今 刑事 訴 追 される される と言いながら 何人 だと 言った ら 答え ない んです
お答え申し上げます , そんな の関係 ない んだ よ
お答え申し上げます , もう こんな の 余り 僕は 突 っ かかり たくない んですけど 定義 が 定 ま っていない って 移 民 もそう 言っています よ
大変 恐縮でございますが 今 私 の立場 として 申し上げ られる こと といたしましては 今 政府の 方針 としては 一定の 専門性 技能 を有する 外国人 の方に 来て いただく という 方向で の 法改正 を行っている と承知しております , さっき 所管 外 と言って 答え なかった の に こうやって 答える んだ ちゃんと 言われ れば
この 御指摘の 記事 については 私も 今 承知 しているところでございます けれど 一 個人 ないし 一 議員 としての コメント に関する 記事 について 政府 の立場 として お答え することは 差し控えさせていただきたい と思います , 別に 鈴木 さんの 個人の コメント に じゃ この 中身 自身 はどう 判断 しているのか と
今回の 新たな 受入れ 制度 というのは あくまで 専門的 技術的 分野 を 拡充 し 一定の 専門性 技能 を有する 外国人 を受け よう とする 制度 であると 私 の方は 認識 しているわけでございます , じゃ これ 間違って いる んですね
 政府 の立場 としましては 専門的 技術的 分野 の 外国人 労働者 は 積極的に 受け入れる という 方針 でございまして また 特定の 技術 技能 知識 又は 経験 を 必要 と しない 労働 に従事する 活動 を行う 外国人 を 受け入れる 政策 については これは 採用 しない という考え方 を持っている わけでございます , まあ これ いつまで やって も 仕 方が ない んですが 一 事 が 万 事 こんな 状況 です
御指摘のとおり 十一月 二十四日 の 台湾 の 公 民 投票 で 福島 茨 城 栃 木 群 馬 千 葉 県の 輸入 規制 の 継続 が 投票 の結果 可決 された わけでございます , 済みません あらゆる 選択肢 というのは まあ 言える こと 言えない ことは ある んでしょう けど 今 大臣から 言われた ので あえて お伺いします
 当面 科学的 根拠 を 十分に 示 して 台湾 側に 働きかけ る ということでございますが あらゆる 選択肢 の中には 当然 に WTO の 紛争 解決 手続 に 進む ということも 選択肢 の中には 排除 されていない ということでございます , そのことを 外務大臣 が 示唆 した ということ だと 受け止め ます
 そろそろ 質疑を おまとめください , 追 認 するような 状況を 言う ことが 交渉 上 本当に いいのか と
 あの 五 六年 の 共同 宣言 というのを 基礎 にして 交渉 を 加速 化 させ よう ということで 合意 を したわけでございます から 総理 として その 合意 について の説明 ということ な んだろうと思います , 終わります
次に 福 山 哲 郎 君の質疑 を行います , 立憲民主党 の 福 山 でございます
お答えいたします , もう 国会 序 盤 から こういう 事例 のない 乱 暴 な 国会 が 続いて います
この 外 遊 の 日程 について でございますが G 20 が 開かれ る アル ゼ ン チ ン 以外の 国 等 については 国会 日程 等 も ございまして また 当該 国と の 調整 も ございまして 現在 調整 中 だ ということでございます , 総理 国会の 委員会 の審議 ですよ
 予算 の 執行 状況 に関する調査を議題と し 内 外 の 諸 情勢 に関する 集中 審議 を行います , お 疲 れ さ ま でございました
