御異議ないと認め ます , 立憲民主党 ・ 民 友 会 の 蓮 舫 です
この際 委員の異動について御報告 いたします , 立憲民主党 の 蓮 舫 です
お答えさせていただきます , 済みません 何を 言っている か ちょっと 分 から なかった んですけど つまり 将来の 予算 額を お示し することは困難
 予算 は 抑制 に 努 め させていただきます , コスト は できる限り 抑制 当然 です
 オープン な プロセス により 意思決定 を行う とともに 施策 に対する コスト を できる限り 抑制 する , オープン な プロセス により ちゃんと 国民に お示し をする
 大 枠 を踏まえて 作成 したものでございます , 大 枠 と は何 ですか
 東京 二〇 二〇 オリンピック ・ パラリンピック 競技 大会 の 役割分担 に関する 基本的な 方向 について いわゆる 大 枠 の 合意 とは 平成二十九年 五月 に 東京都 組織 委員会 国 及び 競技 会 場 が 所在 する 自治体の 四 者 において 大会 に向けた 経費 の 縮 減 効率化 や 必要な 財源 の確保 に努める とともに それぞれの 役割分担 及び 経費 分担 の 基本的な 方向 について 合意 した ものであります , 三 枚目 の資料 の下に その 大 枠 合意 の 概要 をお 付け をいたしました
 関係者 間で 取り 決めた ということでございます , どうやって 取り 決めた んですか
 関係者 間で 協議 をして 決めた そう でございます , どんな 協議 をしました か
 協議 の 子 細 については 承知しておりません , そこが 一番大事な んです
はい , 四 分の 一 は じゃ どうやって 決めた んですか
 組織 委員会 が 二分の一 で あと は 東京都 と 国が 二分の一 ずつ だ そうです , 違います
 平成二十九年 の 五月 に 東京都 組織 委員会 国 及び 競技 会 場 が 所在 する 自治体の 四 者 において 合意 した それぞれの 役割分担 及び 経費 分担 の 基本的な 方向 について それまで の 協議 の結果 や 合意 の内容 に関しては 東京都 が ウ エ ブ サイト において 公表 しております , 東京都 が ウ エ ブ サイト によって 公表 しています か
 大 枠 の 合意 については そのとおり 私が 言った とおりでございます , 大臣 違います
 二十 九年 以降 の ことについては 公表 されております が 二十 八年 以前 の ものについては 公表 されておりません , 済みません この 大 枠 の 合意 が 発表 された のは 二十 九年 の 五月 ですよ
 されております , じゃ 決まった 経緯 の 途中 経過 は 公表 されています か
 それ 以前 の 過程 については 保存 していない のか と 問われ ている ところでございますが 内 々 の 打 合 せ 等 については 必ずしも メモ を作成 していない 場合 も あり得る と考えております , 内 々 の 打 合 せ 以外の 打 合 せ が あるんですか
 大 筋 の 合意 に関する 協議 の 過程 や 合意 の内容 についても 関係者 間の 了承 の下 開催 都市 である 東京都 が ホームページ において 公表 している ものと承知しております , 東京都 が 保有 していた メモ 五十 八 枚 は 公表 されて いません
先日 十五日 東京都 情報公開 審査会 が 都 と 国と 組織 委員会の 役割分担 に関する 文書 に関する 答申 を 公表 した ことは承知しております , 国 に 残っている んですか と 聞いているんです
